Date,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DOP,EUR,GBP,HKD,HRK,HUF,INR,IDR,IRR,JPY,KES,MAD,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PKR,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TZS,UAH,USD,VEF,VND,ZAR
1/31/2015,640.94,482.2,531.48,695.2,504.25,242.76,866.1,,,162.44,49.83,,653.58,535.66,435.77,318.24,531.47,407.8,453.46,77.75,78.96,,,681.09,836.12,,640.54,454.71,560.43,756.38,,504.92,915.51,,,633.92,298.87,430.54,,,,568.17,,,
2/7/2015,310.81,722.53,747.11,444.73,630.18,292.36,250.37,,,193.99,36.86,,566.93,499.14,540.55,937.23,389.61,453.88,452.19,1000,68.04,,,487.81,399.9,,353.97,598.76,356.51,680.33,,506.58,646.62,,,577.35,227.44,318.65,,,,571.36,,,
2/14/2015,204.99,222.36,538.53,248.59,545.4,442.49,625.28,,,1000,586.73,,470.43,443.5,383.1,731.1,338.69,287.18,450.84,941.62,63.97,,,624.81,386.81,,773.5,418.09,587.77,756.27,,437.73,1000,,,560.35,710.62,537.31,,,,536.02,,,
2/21/2015,156.84,1000,507.76,571.29,646.28,659.5,503.37,,,523.9,1000,,480.26,528.09,479.03,523.21,242.77,499.81,449.42,109.84,69.64,,,526.62,577.52,,510.28,634.05,273.53,408.99,,320.26,651.93,,,623.79,367.74,572.49,,,,567.52,,,
2/28/2015,416.15,473.06,555.51,1000,642.96,546.77,493.04,,,1000,1000,,566.64,540.8,663.6,672.13,231.39,786.05,447.92,1000,354.35,,,402.28,520.15,,428.84,568.72,1000,573.77,,511.3,364.8,,,603.75,1000,472.03,,,,548.45,,,
3/7/2015,360.99,892.44,479.08,494.07,559.8,916.16,504.47,,,1000,1000,,450.08,516.34,458.43,1000,618.99,952.78,446.32,819.41,566.85,,,613.08,917.16,,451.77,550.36,457.1,343.58,,582.22,696.97,,,534.19,1000,420.06,,,,535.05,,,
3/14/2015,155.68,430.6,486.1,421.98,477.46,657.56,35.63,,,487.3,1000,,496.84,430.91,531.04,284.59,633.18,429.38,444.62,177.41,592.61,,,535.94,501.21,,527.37,560.67,345.39,728.72,,786.88,720.91,,,491.5,172.61,368.38,,,,520.97,,,
3/21/2015,319.6,153.19,378.89,1000,416.72,170.11,61.39,,,543.31,698.54,,330.06,390.5,453.39,690.65,762.19,345.38,442.81,168.56,570.6,,,411.45,580.48,,305.42,367.36,438.38,720.01,,353.3,379.68,,,422.25,240.4,433.03,,,,485.74,,,
3/28/2015,380.91,190.83,369.3,308.47,449.43,364.81,256.69,,,458.72,636.97,,311.7,440.99,229.38,957.49,270.18,467.84,440.88,178.59,536.93,,,338.65,644.17,,315.55,326.05,310.18,378.83,,493.87,495.63,,,401.83,595.9,450.79,,,,519.28,,,
4/4/2015,741.84,300.9,402.14,1000,398.5,256.22,842.63,,,181.84,1000,,476.83,453.25,271.69,627.25,775.7,389.55,438.81,379.62,894.13,,,365.16,560.3,,526.02,378.49,397.16,1000,,356.95,436.16,,,477.92,340.4,517.73,,,,489.83,,,
