Index,Date,BTCAED,BTCARS,BTCAUD,BTCBRL,BTCCAD,BTCCHF,BTCCLP,BTCCNY,BTCCOP,BTCCZK,BTCDKK,BTCDOP,BTCEUR,BTCGBP,BTCHKD,BTCHRK,BTCHUF,BTCINR,BTCIDR,BTCIRR,BTCJPY,BTCKES,BTCKZT,BTCMAD,BTCMXN,BTCMYR,BTCNGN,BTCNOK,BTCNZD,BTCPEN,BTCPHP,BTCPKR,BTCPLN,BTCRON,BTCRUB,BTCSAR,BTCSEK,BTCSGD,BTCTHB,BTCTRY,BTCTZS,BTCUAH,BTCUSD,BTCVEF,BTCVND,BTCZAR
57,4/5/2014,1583.3,4439.53,469.33,1183.23,514.11,422.01,249934.88,2862.37,892986.67,9393.05,2672.98,21134.04,338.66,271.11,3333.09,2605.32,95701.01,28670.71,7493423.33,10767599.28,52950.65,37525,,6000,5923.9,1432.86,97516.84,2757.5,502.84,1400,18784.91,61966.67,1325.87,1349.71,16645.25,2218.29,2942.66,549.38,13153.19,1100,,5341.67,486.06,35466.67,11519194.03,5057.58
58,4/12/2014,1520.94,4890.12,520.55,1232.25,585.19,448.47,276981.05,3013.17,1129307.3,9993.42,2556.97,21222.7,346.32,301.24,3873.28,2704.97,103448.89,31287.76,7291856.11,11027432.64,46011.45,43252.94,,5980,6639.33,1599.51,90980.81,2821,597.67,1440,19850.39,60305.56,1360.85,1610.49,18119.27,2369.03,3218.71,638.54,14713.87,1119.33,,5644.44,533.92,30000,11489128.05,5534.78
59,4/19/2014,1657.13,4771.2,536.45,1252.29,577.98,465.7,276032.58,3005.85,952899.49,9990.47,2817.05,21311.37,362.5,290.54,3742.45,2965.43,107795.21,30372.05,7090288.89,11287266,62815.96,42526.92,,5960,6648.17,1613.33,84444.78,3037.63,572.31,1480,21326.18,58644.44,1430.74,1548.16,17976.49,2721.43,3273.62,605.33,14803.45,1007.5,,5947.22,526.2,27388.8,11459062.08,5444.49
60,4/26/2014,1793.33,4573.92,482.1,1215.38,527.92,428.91,253666.81,2649.38,963259.15,8832.3,2466.49,21400.03,334.62,274.95,3515.82,2651.2,130807.96,29032.34,6888721.67,11547099.36,53500,39337.04,,5940,6154.26,1526.27,77908.75,2675.41,527.8,1521.43,19381.1,56983.33,1314.49,1441.22,16171.97,2300,3012.35,605.67,13763.76,1400,,6250,485.92,26609.75,11428996.11,5000.07
61,5/3/2014,1690.63,4491.06,475.56,1061.81,514.75,420.93,241283.33,2615.37,886196.85,8885.23,2466.22,21488.69,329.76,261.17,3481.06,2302.82,107063.49,27012.66,6687154.44,11806932.71,87733.33,37818.18,,5920,5930.07,1462.98,71372.73,2695.59,522.21,1344.44,19413.68,55322.22,1275.19,1392.32,15439.62,2200,3009.05,583.27,14037.29,1050,,6552.78,468.37,25421.25,11398930.14,4810.56
62,5/10/2014,1597.79,4497.89,477.34,1066.34,509.34,416.94,246782.98,2708.36,911161.51,8962.9,2543.69,21577.35,329.64,269.53,3479.42,2643.48,112716.02,26667.63,6485587.22,12066766.07,90690.91,35030.3,,5900,5892,1445.06,69866.67,2726.29,523.94,1482.57,18821.34,53661.11,1296.41,1421.35,15531.1,2100,2995.83,589.88,14076.14,1085.71,,6855.56,477.69,25595.67,11368864.16,4652.86
63,5/17/2014,1873.46,5263.7,532.73,1138.25,558.53,447.99,304646.59,3076.55,903295.3,10023.79,2771.1,21666.02,357.27,302.32,4021.08,3107.84,130053.13,30448.64,6284020,13424903.3,69032.08,46810,,5880,6562.03,1624.44,80371.21,3045.33,578.34,1773.05,20276.33,52000,1460.06,1557.22,17272.65,2185,3216.71,597.43,15223.45,1160.77,,7158.33,527.69,46950,12908484.42,5095.96
64,5/24/2014,2131.99,6161.32,642.63,1414.68,658.6,526.65,367950.42,3409.9,1128343.72,11882.02,3261.88,21754.68,422.31,351.38,4728.25,3438.62,142002.59,32742.86,6795357.14,14783040.52,73422.97,49250,,5860,7630.7,1859.33,90875.75,3600.15,694.87,1951.69,25006.86,58771.93,1682.45,1764.79,20167.61,2270,3872.39,764.34,18069.47,1235.82,,7461.11,629.8,38314.93,14448104.68,5336.38
65,5/31/2014,2373.93,7104.16,717.26,1634.89,741.15,580.73,352668.09,4010.27,1237004.6,12977.77,3622.25,21843.34,478.5,391.31,5067.64,3677.34,156400,37318.48,7151382.54,16141177.75,67080.38,56800,,5840,8699.06,2139.07,101380.29,4082.07,781.74,2130.33,27853.86,60873.04,1877.02,2055.86,22444.87,2504.41,4301.55,869.01,20747.86,1310.87,,7763.89,704.18,40714.32,15987724.94,6007.25
66,6/7/2014,2271.47,6939.5,690.21,1565.05,707.45,591.06,327872.83,3924.55,1207731.04,12584.23,3377.27,21932,475.79,378.43,4812.34,3563.94,158649.6,36334.32,7507407.94,17499314.98,60737.78,55920.59,,5820,8341.42,2096.05,91505.26,3833.29,755.41,2140.91,26135.32,62974.14,1764.23,1991.23,23025.72,2565,4322.05,835.8,19872.03,1385.92,,8066.67,681.93,43113.71,13327056.91,5927.11
